n,p,q,sigma,gamma.0,beta.str,M,gamma.step,M2,M4,M6,M8,M10,M12,M14,M16,M18,M20,M22,M24
100,50,7,0.1,4,norm = 20,96,0.1,0,0,0.0417,0.104,0.177,0.292,0.458,0.594,0.688,0.792,0.865,0.906
100,10,3,0.1,4,norm = 20,96,0.1,0,0,0.115,0.24,0.438,0.625,0.729,0.844,0.917,0.958,0.969,1
100,200,14,0.1,4,norm = 20,96,0.1,0,0,0.0104,0.0312,0.0729,0.125,0.188,0.271,0.312,0.385,0.469,0.562
